t2.large,g4dn.xlarge,price,throughput
10,1,1.454,114.85
2,3,1.7636,169.15
9,3,2.4132,176.53
9,1,1.3612,111.97
7,3,2.2276,174.66
12,3,2.6916,185.3
0,1,0.526,68.32
8,2,1.7944,155.98
0,2,1.052,128.23
11,2,2.0728,157.21
5,3,2.042,173.65
14,2,2.3512,160.88
9,2,1.8872,156.71
0,3,1.578,173.31
5,1,0.99,97.4
4,3,1.9492,171.34
1,1,0.6188,74.22
2,2,1.2376,133.07
13,1,1.7324,123.15
1,2,1.1448,128.9
7,1,1.1756,102.38
13,0,1.2064,65.45
15,1,1.918,133.17
13,2,2.2584,160.27
12,2,2.1656,157.07
10,3,2.506,173.73
3,3,1.8564,170.47
11,1,1.5468,119.02
6,3,2.1348,175.2
10,2,1.98,157.12
4,1,0.8972,91.07
16,0,1.4848,77.38
13,3,2.7844,178.83
2,1,0.7116,86.59
3,1,0.8044,86.71
6,2,1.6088,155.53
14,1,1.8252,124.09
12,1,1.6396,122.26
4,2,1.4232,150.98
3,2,1.3304,146.03
6,1,1.0828,100.01
5,2,1.516,153.26
1,3,1.6708,166.89
15,0,1.392,73.93
8,1,1.2684,109.34
11,3,2.5988,177.51
7,2,1.7016,154.32
8,3,2.3204,176.86
