t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
11,2,3,2,100,80,25.0
8,2,3,2,100,70,42.9
4,4,3,2,100,77,29.9
9,2,3,2,100,72,38.9
10,1,3,2,100,81,23.5
9,4,3,2,100,77,29.9
7,4,3,2,100,81,23.5
6,4,3,2,100,77,29.9
8,3,3,2,100,77,29.9
7,3,3,2,100,70,42.9
12,1,3,2,100,80,25.0
6,3,3,2,100,73,37.0
5,4,3,2,100,75,33.3
10,2,3,2,100,72,38.9
8,4,3,2,100,72,38.9
11,1,3,2,100,70,42.9
10,3,3,2,100,70,42.9
9,3,3,2,100,81,23.5
0,3,3,3,100,90,11.1
6,0,3,3,100,87,14.9
7,4,2,3,100,68,47.1
8,3,2,3,100,80,25.0
0,0,3,3,100,100,0.0
9,2,2,3,100,80,25.0
3,0,3,3,100,92,8.7
10,0,3,3,100,72,38.9
6,3,2,3,100,81,23.5
12,0,2,3,100,79,26.6
4,0,3,3,100,90,11.1
13,0,2,3,100,67,49.3
11,3,2,3,100,67,49.3
4,1,3,3,100,86,16.3
10,0,2,3,100,74,35.1
3,2,3,3,100,78,28.2
6,2,2,3,100,82,22.0
0,4,3,3,100,81,23.5
9,1,2,3,100,81,23.5
7,3,2,3,100,80,25.0
10,3,2,3,100,67,49.3
7,2,2,3,100,75,33.3
4,4,2,3,100,81,23.5
7,2,3,3,100,83,20.5
6,2,3,3,100,75,33.3
12,1,2,3,100,68,47.1
8,0,3,3,100,84,19.0
3,3,3,3,100,80,25.0
11,0,3,3,100,81,23.5
3,4,3,3,100,79,26.6
10,1,2,3,100,78,28.2
1,0,3,3,100,96,4.2
3,4,2,3,100,78,28.2
7,1,3,3,100,73,37.0
5,3,3,3,100,83,20.5
4,3,2,3,100,82,22.0
1,4,3,3,100,77,29.9
4,3,3,3,100,75,33.3
5,3,2,3,100,82,22.0
8,2,2,3,100,80,25.0
8,4,2,3,100,79,26.6
2,1,3,3,100,90,11.1
5,4,2,3,100,73,37.0
11,2,2,3,100,68,47.1
9,1,3,3,100,82,22.0
2,3,3,3,100,86,16.3
1,4,2,3,100,84,19.0
3,1,3,3,100,90,11.1
12,2,2,3,100,79,26.6
1,2,3,3,100,91,9.9
5,2,3,3,100,84,19.0
13,0,3,3,100,81,23.5
10,2,2,3,100,68,47.1
2,4,2,3,100,83,20.5
5,1,3,3,100,80,25.0
4,2,3,3,100,80,25.0
7,0,3,3,100,86,16.3
6,4,2,3,100,72,38.9
8,1,3,3,100,74,35.1
12,0,3,3,100,69,44.9
11,1,2,3,100,67,49.3
14,0,2,3,100,69,44.9
6,1,3,3,100,85,17.6
10,4,2,3,100,79,26.6
9,0,3,3,100,83,20.5
2,0,3,3,100,95,5.3
2,2,3,3,100,88,13.6
9,4,2,3,100,69,44.9
0,1,3,3,100,96,4.2
13,1,2,3,100,66,51.5
8,1,2,3,100,71,40.8
0,2,3,3,100,91,9.9
11,0,2,3,100,68,47.1
2,4,3,3,100,79,26.6
1,3,3,3,100,88,13.6
1,1,3,3,100,87,14.9
5,0,3,3,100,86,16.3
9,3,2,3,100,79,26.6
8,0,2,4,100,83,20.5
11,4,1,4,100,77,29.9
0,1,2,4,100,92,8.7
2,3,2,4,100,79,26.6
3,1,2,4,100,83,20.5
0,4,2,4,100,77,29.9
6,1,2,4,100,81,23.5
10,4,1,4,100,65,53.8
5,2,2,4,100,76,31.6
6,0,2,4,100,77,29.9
4,0,2,4,100,89,12.4
3,0,2,4,100,87,14.9
12,3,1,4,100,64,56.2
5,0,2,4,100,81,23.5
2,1,2,4,100,89,12.4
1,1,2,4,100,89,12.4
5,1,2,4,100,77,29.9
9,4,1,4,100,64,56.2
1,3,2,4,100,86,16.3
7,0,2,4,100,84,19.0
3,2,2,4,100,86,16.3
3,3,2,4,100,78,28.2
4,2,2,4,100,73,37.0
2,2,2,4,100,87,14.9
11,3,1,4,100,70,42.9
0,2,2,4,100,91,9.9
4,1,2,4,100,85,17.6
7,1,2,4,100,73,37.0
2,0,2,4,100,88,13.6
1,2,2,4,100,89,12.4
0,3,2,4,100,83,20.5
9,0,2,4,100,71,40.8
13,2,1,5,100,63,58.7
9,2,1,5,100,65,53.8
1,4,1,5,100,76,31.6
8,1,1,5,100,79,26.6
9,3,1,5,100,66,51.5
6,4,1,5,100,68,47.1
9,1,1,5,100,78,28.2
12,1,1,5,100,70,42.9
3,4,1,5,100,80,25.0
14,0,1,5,100,63,58.7
4,3,1,5,100,65,53.8
8,4,1,5,100,78,28.2
7,2,1,5,100,79,26.6
12,2,1,5,100,72,38.9
10,2,1,5,100,78,28.2
4,4,1,5,100,70,42.9
7,4,1,5,100,77,29.9
13,1,1,5,100,64,56.2
10,1,1,5,100,78,28.2
11,1,1,5,100,65,53.8
8,2,1,5,100,65,53.8
2,4,1,5,100,80,25.0
7,3,1,5,100,78,28.2
15,0,1,5,100,77,29.9
11,0,1,5,100,78,28.2
10,3,1,5,100,74,35.1
13,0,1,5,100,63,58.7
12,0,1,5,100,64,56.2
11,2,1,5,100,76,31.6
5,3,1,5,100,73,37.0
6,2,1,5,100,67,49.3
0,0,2,5,100,98,2.0
3,3,1,5,100,81,23.5
8,3,1,5,100,72,38.9
14,1,1,5,100,63,58.7
5,4,1,5,100,74,35.1
1,0,2,5,100,97,3.1
6,3,1,5,100,79,26.6
7,0,1,6,100,82,22.0
6,1,1,6,100,76,31.6
9,0,1,6,100,66,51.5
7,1,1,6,100,80,25.0
5,2,1,6,100,69,44.9
3,2,1,6,100,78,28.2
2,2,1,6,100,70,42.9
0,4,1,6,100,82,22.0
5,1,1,6,100,72,38.9
8,0,1,6,100,67,49.3
1,3,1,6,100,83,20.5
0,3,1,6,100,79,26.6
2,3,1,6,100,82,22.0
4,1,1,6,100,72,38.9
4,2,1,6,100,82,22.0
10,0,1,6,100,66,51.5
1,2,1,7,100,80,25.0
5,0,1,7,100,85,17.6
0,2,1,7,100,83,20.5
2,1,1,7,100,81,23.5
3,1,1,7,100,78,28.2
4,0,1,7,100,88,13.6
6,0,1,7,100,73,37.0
1,1,1,8,100,85,17.6
2,0,1,8,100,92,8.7
0,1,1,8,100,88,13.6
3,0,1,8,100,83,20.5
12,4,0,8,100,75,33.3
1,0,1,9,100,89,12.4
11,4,0,9,100,60,66.7
10,4,0,9,100,75,33.3
13,3,0,9,100,75,33.3
12,3,0,9,100,60,66.7
9,4,0,9,100,74,35.1
0,0,1,10,100,90,11.1
12,2,0,10,100,64,56.2
7,4,0,11,100,59,69.5
11,2,0,11,100,69,44.9
15,1,0,11,100,59,69.5
9,3,0,11,100,74,35.1
8,4,0,11,100,60,66.7
14,2,0,11,100,72,38.9
11,3,0,11,100,66,51.5
5,4,0,12,100,60,66.7
13,1,0,12,100,64,56.2
15,0,0,12,100,59,69.5
10,3,0,12,100,59,69.5
6,4,0,12,100,70,42.9
13,2,0,12,100,73,37.0
16,0,0,12,100,73,37.0
10,2,0,13,100,73,37.0
14,1,0,13,100,58,72.4
7,3,0,13,100,62,61.3
8,3,0,13,100,72,38.9
3,4,0,14,100,71,40.8
4,4,0,14,100,71,40.8
8,2,0,14,100,73,37.0
12,1,0,15,100,72,38.9
10,1,0,16,100,57,75.4
13,0,0,16,100,71,40.8
5,3,0,16,100,55,81.8
